Class,WMPC
Polar.class,1
Line.class,1
Ring.class,1
Candlestick.class,1
PieSimple.class,1
WindPlot.class,1
BubbleChart.class,1
Pie3DLocale.class,1
XYStepArea.class,1
Pie.class,8
XYArea.class,1
HighLow.class,1
StackedXYArea.class,1
Gantt.class,1
Pie3D.class,1
ChartFactoryClient.class,1
IChart.class,0
XYBar.class,2
Bar.class,1
PieLocale.class,8
Waterfall.class,1
Area.class,1
RingLocale.class,1
StackedArea.class,1
MultiplePie3D.class,1
BoxAndWhiskerCategory.class,1
BoxAndWhiskerXY.class,1
PieSimpleLocale.class,1
XYStep.class,1
StackedBar.class,1
TimeSeries.class,1
XYLine.class,1
MultiplePie.class,1
Histogram.class,1
WaferMap.class,1
ScatterPlot.class,1
